Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Open Drain,Slew Rate Control
1,PA00,,Available,,,,,,No,FAST
2,PA01,,Available,,,,,,No,FAST
3,PA02,,Available,,,,,,No,FAST
4,PA03,,Available,,,,,,No,FAST
8,PA04,,Available,,,,,,No,FAST
9,PA05,,Available,,,,,,No,FAST
10,PA06,,Available,,,,,,No,FAST
11,PA07,,Available,,,,,,No,FAST
12,PA08,,Available,,,,,,No,FAST
13,PA09,,Available,,,,,,No,FAST
14,PA10,,Available,,,,,,No,FAST
15,PA11,,Available,,,,,,No,FAST
16,PA12,,Available,,,,,,No,FAST
17,PB00,,Available,,,,,,No,FAST
18,PB01,,Available,,,,,,No,FAST
20,PB02,,Available,,,,,,No,FAST
21,PB03,,Available,,,,,,No,FAST
23,PB04,,Available,,,,,,No,FAST
24,PB05,,Available,,,,,,No,FAST
25,PB06,,Available,,,,,,No,FAST
29,PB07,,Available,,,,,,No,FAST
30,PB08,,Available,,,,,,No,FAST
31,PB09,,Available,,,,,,No,FAST
32,PB10,,Available,,,,,,No,FAST
33,PC00,,Available,,,,,,No,FAST
34,PC01,,Available,,,,,,No,FAST
35,PC02,,Available,,,,,,No,FAST
36,PC03,,Available,,,,,,No,FAST
37,PC04,,Available,,,,,,No,FAST
40,PC05,,Available,,,,,,No,FAST
41,PC06,,Available,,,,,,No,FAST
42,PC07,,Available,,,,,,No,FAST
44,PC09,,Available,,,,,,No,FAST
45,PC10,,Available,,,,,,No,FAST
46,PC11,,Available,,,,,,No,FAST
47,PC12,,Available,,,,,,No,FAST
48,PC13,,Available,,,,,,No,FAST
51,PD00,,Available,,,,,,No,FAST
52,PD01,,Available,,,,,,No,FAST
53,PD02,,Available,,,,,,No,FAST
54,PD03,,Available,,,,,,No,FAST
55,PD04,,Available,,,,,,No,FAST
56,PD05,,Available,,,,,,No,FAST
57,PD06,,Available,,,,,,No,FAST
58,PD07,,Available,,,,,,No,FAST
61,PD08,,Available,,,,,,No,FAST
62,PD09,,Available,,,,,,No,FAST
63,PD10,,Available,,,,,,No,FAST
64,PD11,,Available,,,,,,No,FAST
